item_code,item_description,item_type,supplier
100002,PATRON TEQUILA SILVER LTD - 1L,LIQUOR,RELIABLE CHURCHILL LLLP
100007,LA CETTO CAB SAUV - 750ML,WINE,CONSTANTINE WINES INC
100008,AMITY VINEYARDS P/NOIR 2013 - 750ML,WINE,CONSTANTINE WINES INC
100009,BOOTLEG RED - 750ML,WINE,REPUBLIC NATIONAL DISTRIBUTING CO
100011,PAPI P/GRIG - 1.5L,WINE,INTERBALT PRODUCTS CORP
100012,PAPI P/GRIG - 750ML,WINE,INTERBALT PRODUCTS CORP
100022,CH SAINCRIT CLASSIQUE BORDEAUX - 750ML,WINE,TRICANA SHIPPERS & IMPORT
100023,CH PARADIS-TERRE DES ANGES ROSE,WINE,PWSWN INC
100024,MOMENT DE PLAISIR - 750ML,WINE,PWSWN INC
10004,ANYWHERE CELLARS ROSE,WINE,DOPS INC
100080,KEDEM CREAM RED CONCORD - 750ML,WINE,ROYAL WINE CORP
1001,SAM SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,RELIABLE CHURCHILL LLLP
10014,SAM SMITH GIFT PACK W/ GLASS - 18.7OZ,BEER,RELIABLE CHURCHILL LLLP
100145,SCHLINK HAUS KABINETT - 750ML,WINE,LANTERNA DISTRIBUTORS INC
1002,TRAQUAIR JACOBITE ALE - 16.9OZ,BEER,RELIABLE CHURCHILL LLLP
100200,GAMLA CAB - 750ML,WINE,ROYAL WINE CORP
10023,1623 EVERYTHING BUT THE SEEDS 4/6 CANS,BEER,BUCK DISTRIBUTING COMPANY INC
10024,RECKLESS CHERRY LIME SELTZER 4/6 CANS,BEER,BUCK DISTRIBUTING COMPANY INC
10025,RECKLESS MECENARY 6/4 16OZ CANS,BEER,BUCK DISTRIBUTING COMPANY INC
100285,NAOUSSA RED WINE - 750ML,WINE,DIONYSOS IMPORTS INC
100293,SANTORINI GAVALA WHITE - 750ML,WINE,DIONYSOS IMPORTS INC
10030,MONTAIGNE COGNAC - CACHER 3* - 750ML,LIQUOR,ROYAL WINE CORP
10036,TROEGS LUCKY HOLLER HAZY IPA 4/6 NR,BEER,TROEGS BREWING COMPANY
10038,TROEGS PASSIONFRUIT GAUVA TART 4/6 CANS,BEER,TROEGS BREWING COMPANY
1004,LEO BEER - THAILAND,BEER,PRESTIGE BEVERAGE GROUP OF MD LLC
10040,LOST RHINO MIG IPA 6/4 16OZ CANS,BEER,BACKUP BEVERAGE
10041,JACKS SWEET BOURBON 1/2 KEG,KEGS,BACKUP BEVERAGE
10042,GREAT LAKES LAKE ERIE MONSTER 6/4 NR,BEER,BACKUP BEVERAGE
10044,3WV JUICEBOX RWB 1/6 KEG,KEGS,BACKUP BEVERAGE
10045,GREAT LAKES LAKE ERIE MONSTER 1/6 KEG,KEGS,BACKUP BEVERAGE
10047,ATLAS BULLPEN PILSNER 4/6 CAN,BEER,ATLAS BREW WORKS LLC
10048,BROOKEVILLE PHILSNER 6/4 16OZ CANS,BEER,BROOKEVILLE BREWING LLC
10049,GUINNESS STOCK ALE 19.5L KEG,KEGS,DIAGEO NORTH AMERICA INC
10050,DC BRAU ROSE DU GOSE 6/4 CANS,BEER,DC BRAU BREWING LLC
10051,BOULEVARD MANHATTAN SOCIAL CLUB 6/4 NR,BEER,DUVEL MOORTGAT USA LTD
10052,DENIZENS BLOOD ORANGE SELTZER 4/6 CANS,BEER,CITIZENS BREWING LLC
10053,DENIZENS PINA COLADA SELTZER 4/6 CANS,BEER,CITIZENS BREWING LLC
10054,DENIZENS LIME SELTZER 4/6 CANS,BEER,CITIZENS BREWING LLC
10055,AMERICAN SOLERA PALATE JACK 6/4 16OZ CANS,BEER,LEGENDS LTD
10058,FAT ORANGE CAT TRAFFIC LIGHTS 6/4 16OZ CANS,BEER,LEGENDS LTD
10059,HOOF HEARTED FITNESS FREAK 6/4 16OZ CANS,BEER,LEGENDS LTD
10060,HOOF HEARTED KEY BUMP 6/4 16OZ CANS,BEER,LEGENDS LTD
10061,JULIUS ECTHER DUNKEL 4/4 16OZ NR,BEER,LEGENDS LTD
10062,MARLOWE A THING OR TWO 6/4 16OZ CANS,BEER,LEGENDS LTD
10063,PEAK SWEET TART BLUEBERRY 4/6 CANS,BEER,LEGENDS LTD
10064,SHORT THROW LIPS AND LUNGS 6/4 16OZ CANS,BEER,LEGENDS LTD
100641,CORTENOVA VENETO P/GRIG - 750ML,WINE,KYSELA PERE ET FILS LTD
10066,GULDEN DRAAK IMPERIAL STOUT 750ML,BEER,BACKUP BEVERAGE
10067,GULDEN DRAAK TRIPEL 6/4 NR,BEER,BACKUP BEVERAGE
10068,MONKS CAFE ALE 6/4 CANS,BEER,BACKUP BEVERAGE
10069,MONKS CAFE ALE 750ML,BEER,BACKUP BEVERAGE
10071,GULDEN DRAAK TRIPEL 1/2 KEG,KEGS,BACKUP BEVERAGE
100714,MONTEVINA WH ZIN - 750ML,WINE,REPUBLIC NATIONAL DISTRIBUTING CO
100749,SANTA MARGHERITA P/GRIG ALTO - 375ML,WINE,SANTA MARGHERITA USA INC
10075,DELIRIUM NOCTURNUM 6/4 500ML CANS,BEER,BBL INC
10076,DELIRIUM TREMENS 2/5L MINI KEGS,BEER,BBL INC
10077,COOPER'S HAWK 09 ZAC BROWN UNCAGED 750ML,WINE,NEXTERRA WINE COMPANY
10078,TROPICAL MOSCATO CRANBERRY 750ML,WINE,QUINTESSENTIAL LLC
10079,SILLY TRIPEL YH 1/2 KEG,KEGS,BACKUP BEVERAGE
1008,JACK DANIELS COUNTRY COCKTAIL SOUTHERN PEACH - 10.OZ-NR,BEER,BROWN-FORMAN BEVERAGES WORLDWIDE
100803,CYT XPLORADOR CHARD - 750ML,WINE,REPUBLIC NATIONAL DISTRIBUTING CO
10081,PETRUS SOUR FRAMBOISE 1/4 KEG,KEGS,BACKUP BEVERAGE
10082,BAVIK PILSNER 6/4 NR,BEER,BACKUP BEVERAGE
10085,PORT CITY BEACH DRIVE GOLDEN ALE 1/2 KEG,KEGS,NORTH LOCK LLC DBA PORT CITY BREWING CO
10087,PORT CITY BEACH DRIVE GOLDEN ALE 1/6 KEG,KEGS,NORTH LOCK LLC DBA PORT CITY BREWING CO
10088,ATLAS BULLPEN PILSNER 1/6 KEG,KEGS,ATLAS BREW WORKS LLC
10089,COLLECTIVE ARTS BLOOD ORANGE SOUR 6/4 16OZ CANS,BEER,LEGENDS LTD
10090,ATLAS BULLPEN PILSNER 1/2 KEG,KEGS,ATLAS BREW WORKS LLC
10091,COLLECTIVE ARTS EARL GREY WHEAT 6/4 16OZ CANS,BEER,LEGENDS LTD
10092,GRAFT SHARED UNIVERSE: PEOPLE POWER  6/4 CANS,BEER,LEGENDS LTD
100927,CRISTALINO EX/DRY - 750ML,WINE,REPUBLIC NATIONAL DISTRIBUTING CO
10093,HEAVY SEAS AMERICANNON 1/6 KEG,KEGS,CLIPPER CITY BREWING CO
10094,HEAVY SEAS AMERICANNON 1/2 KEG,KEGS,CLIPPER CITY BREWING CO
10095,HEAVY SEAS AMERICANNON 4/6 NR,BEER,CLIPPER CITY BREWING CO
10096,HEAVY SEAS SIREN NOIRE 6/4 NR,BEER,CLIPPER CITY BREWING CO
10097,GRAFT BOOK OF NOMAD: TIDELANDS 6/4 CANS,BEER,LEGENDS LTD
10099,MONOPOLIO LAGER CLARA 4/6 CANS,BEER,LEGENDS LTD
10100,MONOPOLIO NEGRA 4/6 CANS,BEER,LEGENDS LTD
10101,OMMEGANG SOLERA 6/4 CANS,BEER,LEGENDS LTD
